game_id,season,week,gameday,home_team,away_team,home_score,away_score,home_win,winner_team,home_pregame_win_pct,home_pregame_points_for_pg,home_pregame_points_against_pg,home_pregame_point_diff_pg,home_days_rest,away_pregame_win_pct,away_pregame_points_for_pg,away_pregame_points_against_pg,away_pregame_point_diff_pg,away_days_rest,pregame_win_pct_diff,pregame_points_for_pg_diff,pregame_points_against_pg_diff,pregame_point_diff_pg_diff,days_rest_diff,target_home_win
2010_W04_ARI_at_SD,2010,4,2010-10-03,SD,ARI,41,10,1,SD,0.3333333333333333,24.0,20.333333333333332,3.666666666666668,7.0,0.6666666666666666,16.0,25.666666666666668,-9.666666666666668,7.0,-0.3333333333333333,8.0,-5.333333333333336,13.333333333333336,0.0,1
2010_W04_BAL_at_PIT,2010,4,2010-10-03,PIT,BAL,14,17,0,BAL,1.0,24.0,11.0,13.0,7.0,0.6666666666666666,14.666666666666666,13.666666666666666,1.0,7.0,0.33333333333333337,9.333333333333334,-2.666666666666666,12.0,0.0,0
2010_W04_CAR_at_NO,2010,4,2010-10-03,NO,CAR,16,14,1,NO,0.6666666666666666,21.0,19.333333333333332,1.6666666666666679,7.0,0.0,10.666666666666666,23.666666666666668,-13.000000000000002,7.0,0.6666666666666666,10.333333333333334,-4.333333333333336,14.66666666666667,0.0,1
2010_W04_CHI_at_NYG,2010,4,2010-10-03,NYG,CHI,17,3,1,NYG,0.3333333333333333,18.333333333333332,28.333333333333332,-10.0,7.0,1.0,22.0,17.0,5.0,6.0,-0.6666666666666667,-3.666666666666668,11.333333333333332,-15.0,1.0,1
2010_W04_CIN_at_CLE,2010,4,2010-10-03,CLE,CIN,23,20,1,CLE,0.0,15.0,19.0,-4.0,7.0,0.6666666666666666,19.666666666666668,18.333333333333332,1.3333333333333357,7.0,-0.6666666666666666,-4.666666666666668,0.6666666666666679,-5.333333333333336,0.0,1
2010_W04_DEN_at_TEN,2010,4,2010-10-03,TEN,DEN,20,26,0,DEN,0.6666666666666666,26.0,14.0,12.0,7.0,0.3333333333333333,20.333333333333332,21.666666666666668,-1.3333333333333357,7.0,0.3333333333333333,5.666666666666668,-7.666666666666668,13.333333333333336,0.0,0
2010_W04_DET_at_GB,2010,4,2010-10-03,GB,DET,28,26,1,GB,0.6666666666666666,26.0,15.666666666666666,10.333333333333334,6.0,0.0,18.666666666666668,26.0,-7.333333333333332,7.0,0.6666666666666666,7.333333333333332,-10.333333333333334,17.666666666666664,-1.0,1
2010_W04_HOU_at_OAK,2010,4,2010-10-03,OAK,HOU,24,31,0,HOU,0.3333333333333333,17.333333333333332,25.333333333333332,-8.0,7.0,0.6666666666666666,25.666666666666668,26.0,-0.33333333333333215,7.0,-0.3333333333333333,-8.333333333333336,-0.6666666666666679,-7.666666666666668,0.0,0
2010_W04_IND_at_JAX,2010,4,2010-10-03,JAX,IND,31,28,1,JAX,0.3333333333333333,13.333333333333334,27.666666666666668,-14.333333333333334,7.0,0.6666666666666666,29.666666666666668,20.333333333333332,9.333333333333336,7.0,-0.3333333333333333,-16.333333333333336,7.333333333333336,-23.66666666666667,0.0,1
2010_W04_NYJ_at_BUF,2010,4,2010-10-03,BUF,NYJ,14,38,0,NYJ,0.0,15.666666666666666,29.0,-13.333333333333334,7.0,0.6666666666666666,22.666666666666668,15.666666666666666,7.000000000000002,7.0,-0.6666666666666666,-7.000000000000002,13.333333333333334,-20.333333333333336,0.0,0
2010_W04_SEA_at_STL,2010,4,2010-10-03,STL,SEA,20,3,1,STL,0.3333333333333333,19.0,16.333333333333332,2.666666666666668,7.0,0.6666666666666666,24.0,19.0,5.0,7.0,-0.3333333333333333,-5.0,-2.666666666666668,-2.333333333333332,0.0,1
2010_W04_SF_at_ATL,2010,4,2010-10-03,ATL,SF,16,14,1,ATL,0.6666666666666666,25.666666666666668,15.333333333333334,10.333333333333334,7.0,0.0,12.666666666666666,29.0,-16.333333333333336,7.0,0.6666666666666666,13.000000000000002,-13.666666666666666,26.66666666666667,0.0,1
2010_W04_WAS_at_PHI,2010,4,2010-10-03,PHI,WAS,12,17,0,WAS,0.6666666666666666,27.666666666666668,20.666666666666668,7.0,7.0,0.3333333333333333,18.666666666666668,22.333333333333332,-3.6666666666666643,7.0,0.3333333333333333,9.0,-1.6666666666666643,10.666666666666664,0.0,0
2010_W04_NE_at_MIA,2010,4,2010-10-04,MIA,NE,14,41,0,NE,0.6666666666666666,17.333333333333332,17.0,0.33333333333333215,8.0,0.6666666666666666,30.0,27.333333333333332,2.666666666666668,8.0,0.0,-12.666666666666668,-10.333333333333332,-2.3333333333333357,0.0,0
2010_W05_ATL_at_CLE,2010,5,2010-10-10,CLE,ATL,10,20,0,ATL,0.25,17.0,19.25,-2.25,7.0,0.75,23.25,15.0,8.25,7.0,-0.5,-6.25,4.25,-10.5,0.0,0
2010_W05_CHI_at_CAR,2010,5,2010-10-10,CAR,CHI,6,23,0,CHI,0.0,11.5,21.75,-10.25,7.0,0.75,17.25,17.0,0.25,7.0,-0.75,-5.75,4.75,-10.5,0.0,0
2010_W05_DEN_at_BAL,2010,5,2010-10-10,BAL,DEN,31,17,1,BAL,0.75,15.25,13.75,1.5,7.0,0.5,21.75,21.25,0.5,7.0,0.25,-6.5,-7.5,1.0,0.0,1
2010_W05_GB_at_WAS,2010,5,2010-10-10,WAS,GB,16,13,1,WAS,0.5,18.25,19.75,-1.5,7.0,0.75,26.5,18.25,8.25,7.0,-0.25,-8.25,1.5,-9.75,0.0,1
2010_W05_JAX_at_BUF,2010,5,2010-10-10,BUF,JAX,26,36,0,JAX,0.0,15.25,31.25,-16.0,7.0,0.5,17.75,27.75,-10.0,7.0,-0.5,-2.5,3.5,-6.0,0.0,0
2010_W05_KC_at_IND,2010,5,2010-10-10,IND,KC,19,9,1,IND,0.5,29.25,23.0,6.25,7.0,1.0,22.666666666666668,12.666666666666666,10.000000000000002,14.0,-0.5,6.583333333333332,10.333333333333334,-3.7500000000000018,-7.0,1
2010_W05_NO_at_ARI,2010,5,2010-10-10,ARI,NO,30,20,1,ARI,0.5,14.5,29.5,-15.0,7.0,0.75,19.75,18.0,1.75,7.0,-0.25,-5.25,11.5,-16.75,0.0,1
2010_W05_NYG_at_HOU,2010,5,2010-10-10,HOU,NYG,10,34,0,NYG,0.75,27.0,25.5,1.5,7.0,0.5,18.0,22.0,-4.0,7.0,0.25,9.0,3.5,5.5,0.0,0
2010_W05_PHI_at_SF,2010,5,2010-10-10,SF,PHI,24,27,0,PHI,0.0,13.0,25.75,-12.75,7.0,0.5,23.75,19.75,4.0,7.0,-0.5,-10.75,6.0,-16.75,0.0,0
2010_W05_SD_at_OAK,2010,5,2010-10-10,OAK,SD,35,27,1,OAK,0.25,19.0,26.75,-7.75,7.0,0.5,28.25,17.75,10.5,7.0,-0.25,-9.25,9.0,-18.25,0.0,1
2010_W05_STL_at_DET,2010,5,2010-10-10,DET,STL,44,6,1,DET,0.0,20.5,26.5,-6.0,7.0,0.5,19.25,13.0,6.25,7.0,-0.5,1.25,13.5,-12.25,0.0,1
2010_W05_TB_at_CIN,2010,5,2010-10-10,CIN,TB,21,24,0,TB,0.5,19.75,19.5,0.25,7.0,0.6666666666666666,16.666666666666668,19.666666666666668,-3.0,14.0,-0.16666666666666663,3.083333333333332,-0.16666666666666785,3.25,-7.0,0
2010_W05_TEN_at_DAL,2010,5,2010-10-10,DAL,TEN,27,34,0,TEN,0.3333333333333333,18.0,17.666666666666668,0.33333333333333215,14.0,0.5,24.5,17.0,7.5,7.0,-0.16666666666666669,-6.5,0.6666666666666679,-7.166666666666668,7.0,0
2010_W05_MIN_at_NYJ,2010,5,2010-10-11,NYJ,MIN,29,20,1,NYJ,0.75,26.5,15.25,11.25,8.0,0.3333333333333333,14.333333333333334,12.666666666666666,1.6666666666666679,15.0,0.4166666666666667,12.166666666666666,2.583333333333334,9.583333333333332,-7.0,1
2010_W06_ATL_at_PHI,2010,6,2010-10-17,PHI,ATL,31,17,1,PHI,0.6,24.4,20.6,3.799999999999997,7.0,0.8,22.6,14.0,8.600000000000001,7.0,-0.20000000000000007,1.7999999999999972,6.600000000000001,-4.800000000000004,0.0,1
2010_W06_BAL_at_NE,2010,6,2010-10-17,NE,BAL,23,20,1,NE,0.75,32.75,24.0,8.75,13.0,0.8,18.4,14.4,3.9999999999999982,7.0,-0.050000000000000044,14.350000000000001,9.6,4.750000000000002,6.0,1
2010_W06_CLE_at_PIT,2010,6,2010-10-17,PIT,CLE,28,10,1,PIT,0.75,21.5,12.5,9.0,14.0,0.2,15.6,19.4,-3.799999999999999,7.0,0.55,5.9,-6.899999999999999,12.799999999999999,7.0,1
2010_W06_DAL_at_MIN,2010,6,2010-10-17,MIN,DAL,24,21,1,MIN,0.25,15.75,16.75,-1.0,6.0,0.25,20.25,21.75,-1.5,7.0,0.0,-4.5,-5.0,0.5,-1.0,1
2010_W06_DET_at_NYG,2010,6,2010-10-17,NYG,DET,28,20,1,NYG,0.6,21.2,19.6,1.5999999999999979,7.0,0.2,25.2,22.4,2.8000000000000007,7.0,0.39999999999999997,-4.0,-2.799999999999997,-1.2000000000000028,0.0,1
2010_W06_IND_at_WAS,2010,6,2010-10-17,WAS,IND,24,27,0,IND,0.6,17.8,18.4,-0.5999999999999979,7.0,0.6,27.2,20.2,7.0,7.0,0.0,-9.399999999999999,-1.8000000000000007,-7.599999999999998,0.0,0
2010_W06_KC_at_HOU,2010,6,2010-10-17,HOU,KC,35,31,1,HOU,0.6,23.6,27.2,-3.599999999999998,7.0,0.75,19.25,14.25,5.0,7.0,-0.15000000000000002,4.350000000000001,12.95,-8.599999999999998,0.0,1
2010_W06_MIA_at_GB,2010,6,2010-10-17,GB,MIA,20,23,0,MIA,0.6,23.8,17.8,6.0,7.0,0.5,16.5,23.0,-6.5,13.0,0.09999999999999998,7.300000000000001,-5.199999999999999,12.5,-6.0,0
2010_W06_NO_at_TB,2010,6,2010-10-17,TB,NO,6,31,0,NO,0.75,18.5,20.0,-1.5,7.0,0.6,19.8,20.4,-0.5999999999999979,7.0,0.15000000000000002,-1.3000000000000007,-0.3999999999999986,-0.9000000000000021,0.0,0
2010_W06_NYJ_at_DEN,2010,6,2010-10-17,DEN,NYJ,20,24,0,NYJ,0.4,20.8,23.2,-2.3999999999999986,7.0,0.8,27.0,16.2,10.8,6.0,-0.4,-6.199999999999999,7.0,-13.2,1.0,0
2010_W06_OAK_at_SF,2010,6,2010-10-17,SF,OAK,17,9,1,SF,0.0,15.2,26.0,-10.8,7.0,0.4,22.2,26.8,-4.600000000000001,7.0,-0.4,-7.0,-0.8000000000000007,-6.199999999999999,0.0,1
2010_W06_SD_at_STL,2010,6,2010-10-17,STL,SD,20,17,1,STL,0.4,16.6,19.2,-2.599999999999998,7.0,0.4,28.0,21.2,6.800000000000001,7.0,0.0,-11.399999999999999,-2.0,-9.399999999999999,0.0,1
2010_W06_SEA_at_CHI,2010,6,2010-10-17,CHI,SEA,20,23,0,SEA,0.8,18.4,14.8,3.599999999999998,7.0,0.5,18.75,19.25,-0.5,14.0,0.30000000000000004,-0.3500000000000014,-4.449999999999999,4.099999999999998,-7.0,0
2010_W06_TEN_at_JAX,2010,6,2010-10-18,JAX,TEN,3,30,0,TEN,0.6,21.4,27.4,-6.0,8.0,0.6,26.4,19.0,7.399999999999999,8.0,0.0,-5.0,8.399999999999999,-13.399999999999999,0.0,0
2010_W07_ARI_at_SEA,2010,7,2010-10-24,SEA,ARI,22,10,1,SEA,0.6,19.6,19.4,0.20000000000000284,7.0,0.6,17.6,27.6,-10.0,14.0,0.0,2.0,-8.200000000000003,10.200000000000003,-7.0,1
2010_W07_BUF_at_BAL,2010,7,2010-10-24,BAL,BUF,37,34,1,BAL,0.6666666666666666,18.666666666666668,15.833333333333334,2.833333333333334,7.0,0.0,17.4,32.2,-14.800000000000004,14.0,0.6666666666666666,1.2666666666666693,-16.366666666666667,17.63333333333334,-7.0,1
2010_W07_CIN_at_ATL,2010,7,2010-10-24,ATL,CIN,39,32,1,ATL,0.6666666666666666,21.666666666666668,16.833333333333332,4.833333333333336,7.0,0.4,20.0,20.4,-0.3999999999999986,14.0,0.2666666666666666,1.6666666666666679,-3.5666666666666664,5.233333333333334,-7.0,1
2010_W07_CLE_at_NO,2010,7,2010-10-24,NO,CLE,17,30,0,CLE,0.6666666666666666,21.666666666666668,18.0,3.666666666666668,7.0,0.16666666666666666,14.666666666666666,20.833333333333332,-6.166666666666666,7.0,0.5,7.000000000000002,-2.833333333333332,9.833333333333334,0.0,0
2010_W07_JAX_at_KC,2010,7,2010-10-24,KC,JAX,42,20,1,KC,0.6,21.6,18.4,3.200000000000003,7.0,0.5,18.333333333333332,27.833333333333332,-9.5,6.0,0.09999999999999998,3.2666666666666693,-9.433333333333334,12.700000000000003,1.0,1
2010_W07_MIN_at_GB,2010,7,2010-10-24,GB,MIN,28,24,1,GB,0.5,23.166666666666668,18.666666666666668,4.5,7.0,0.4,17.4,17.6,-0.20000000000000284,7.0,0.09999999999999998,5.766666666666669,1.0666666666666664,4.700000000000003,0.0,1
2010_W07_NE_at_SD,2010,7,2010-10-24,SD,NE,20,23,0,NE,0.3333333333333333,26.166666666666668,21.0,5.166666666666668,7.0,0.8,30.8,23.2,7.600000000000001,7.0,-0.46666666666666673,-4.633333333333333,-2.1999999999999993,-2.4333333333333336,0.0,0
2010_W07_OAK_at_DEN,2010,7,2010-10-24,DEN,OAK,14,59,0,OAK,0.3333333333333333,20.666666666666668,23.333333333333332,-2.6666666666666643,7.0,0.3333333333333333,20.0,25.166666666666668,-5.166666666666668,7.0,0.0,0.6666666666666679,-1.8333333333333357,2.5000000000000036,0.0,0
2010_W07_PHI_at_TEN,2010,7,2010-10-24,TEN,PHI,37,19,1,TEN,0.6666666666666666,27.0,16.333333333333332,10.666666666666668,6.0,0.6666666666666666,25.5,20.0,5.5,7.0,0.0,1.5,-3.666666666666668,5.166666666666668,-1.0,1
2010_W07_PIT_at_MIA,2010,7,2010-10-24,MIA,PIT,22,23,0,PIT,0.6,17.8,22.4,-4.599999999999998,7.0,0.8,22.8,12.0,10.8,7.0,-0.20000000000000007,-5.0,10.399999999999999,-15.399999999999999,0.0,0
2010_W07_SF_at_CAR,2010,7,2010-10-24,CAR,SF,23,20,1,CAR,0.0,10.4,22.0,-11.6,14.0,0.16666666666666666,15.5,23.166666666666668,-7.666666666666668,7.0,-0.16666666666666666,-5.1,-1.1666666666666679,-3.933333333333332,7.0,1
2010_W07_STL_at_TB,2010,7,2010-10-24,TB,STL,18,17,1,TB,0.6,16.0,22.2,-6.199999999999999,7.0,0.5,17.166666666666668,18.833333333333332,-1.6666666666666643,7.0,0.09999999999999998,-1.1666666666666679,3.366666666666667,-4.533333333333335,0.0,1
2010_W07_WAS_at_CHI,2010,7,2010-10-24,CHI,WAS,14,17,0,WAS,0.6666666666666666,18.666666666666668,16.166666666666668,2.5,7.0,0.5,18.833333333333332,19.833333333333332,-1.0,7.0,0.16666666666666663,-0.1666666666666643,-3.6666666666666643,3.5,0.0,0
2010_W07_NYG_at_DAL,2010,7,2010-10-25,DAL,NYG,35,41,0,NYG,0.2,20.4,22.2,-1.8000000000000007,8.0,0.6666666666666666,22.333333333333332,19.666666666666668,2.6666666666666643,8.0,-0.4666666666666666,-1.9333333333333336,2.5333333333333314,-4.466666666666665,0.0,0
2010_W08_BUF_at_KC,2010,8,2010-10-31,KC,BUF,13,10,1,KC,0.6666666666666666,25.0,18.666666666666668,6.333333333333332,7.0,0.0,20.166666666666668,33.0,-12.833333333333332,7.0,0.6666666666666666,4.833333333333332,-14.333333333333332,19.166666666666664,0.0,1
2010_W08_CAR_at_STL,2010,8,2010-10-31,STL,CAR,20,10,1,STL,0.42857142857142855,17.142857142857142,18.714285714285715,-1.571428571428573,7.0,0.16666666666666666,12.5,21.666666666666668,-9.166666666666668,7.0,0.26190476190476186,4.642857142857142,-2.9523809523809526,7.595238095238095,0.0,1
2010_W08_DEN_at_SF,2010,8,2010-10-31,SF,DEN,24,16,1,SF,0.14285714285714285,16.142857142857142,23.142857142857142,-7.0,7.0,0.2857142857142857,19.714285714285715,28.428571428571427,-8.714285714285712,7.0,-0.14285714285714285,-3.571428571428573,-5.285714285714285,1.7142857142857117,0.0,1
