game_id,season,week,gameday,home_team,away_team,home_score,away_score,home_win,winner_team
2010_W09_CHI_at_BUF,2010,9,2010-11-07,BUF,CHI,19,22,0,CHI
2010_W09_DAL_at_GB,2010,9,2010-11-07,GB,DAL,45,7,1,GB
2010_W09_IND_at_PHI,2010,9,2010-11-07,PHI,IND,26,24,1,PHI
2010_W09_KC_at_OAK,2010,9,2010-11-07,OAK,KC,23,20,1,OAK
2010_W09_MIA_at_BAL,2010,9,2010-11-07,BAL,MIA,26,10,1,BAL
2010_W09_NE_at_CLE,2010,9,2010-11-07,CLE,NE,34,14,1,CLE
2010_W09_NO_at_CAR,2010,9,2010-11-07,CAR,NO,3,34,0,NO
2010_W09_NYG_at_SEA,2010,9,2010-11-07,SEA,NYG,7,41,0,NYG
2010_W09_NYJ_at_DET,2010,9,2010-11-07,DET,NYJ,20,23,0,NYJ
2010_W09_SD_at_HOU,2010,9,2010-11-07,HOU,SD,23,29,0,SD
2010_W09_TB_at_ATL,2010,9,2010-11-07,ATL,TB,27,21,1,ATL
2010_W09_PIT_at_CIN,2010,9,2010-11-08,CIN,PIT,21,27,0,PIT
2010_W10_BAL_at_ATL,2010,10,2010-11-11,ATL,BAL,26,21,1,ATL
2010_W10_CAR_at_TB,2010,10,2010-11-14,TB,CAR,31,16,1,TB
2010_W10_CIN_at_IND,2010,10,2010-11-14,IND,CIN,23,17,1,IND
2010_W10_DAL_at_NYG,2010,10,2010-11-14,NYG,DAL,20,33,0,DAL
2010_W10_DET_at_BUF,2010,10,2010-11-14,BUF,DET,14,12,1,BUF
2010_W10_HOU_at_JAX,2010,10,2010-11-14,JAX,HOU,31,24,1,JAX
2010_W10_KC_at_DEN,2010,10,2010-11-14,DEN,KC,49,29,1,DEN
2010_W10_MIN_at_CHI,2010,10,2010-11-14,CHI,MIN,27,13,1,CHI
2010_W10_NE_at_PIT,2010,10,2010-11-14,PIT,NE,26,39,0,NE
2010_W10_NYJ_at_CLE,2010,10,2010-11-14,CLE,NYJ,20,26,0,NYJ
2010_W10_SEA_at_ARI,2010,10,2010-11-14,ARI,SEA,18,36,0,SEA
2010_W10_STL_at_SF,2010,10,2010-11-14,SF,STL,23,20,1,SF
2010_W10_TEN_at_MIA,2010,10,2010-11-14,MIA,TEN,29,17,1,MIA
2010_W10_PHI_at_WAS,2010,10,2010-11-15,WAS,PHI,28,59,0,PHI
2010_W11_CHI_at_MIA,2010,11,2010-11-18,MIA,CHI,0,16,0,CHI
2010_W11_ARI_at_KC,2010,11,2010-11-21,KC,ARI,31,13,1,KC
2010_W11_ATL_at_STL,2010,11,2010-11-21,STL,ATL,17,34,0,ATL
2010_W11_BAL_at_CAR,2010,11,2010-11-21,CAR,BAL,13,37,0,BAL
2010_W11_BUF_at_CIN,2010,11,2010-11-21,CIN,BUF,31,49,0,BUF
2010_W11_CLE_at_JAX,2010,11,2010-11-21,JAX,CLE,24,20,1,JAX
2010_W11_DET_at_DAL,2010,11,2010-11-21,DAL,DET,35,19,1,DAL
2010_W11_GB_at_MIN,2010,11,2010-11-21,MIN,GB,3,31,0,GB
2010_W11_HOU_at_NYJ,2010,11,2010-11-21,NYJ,HOU,30,27,1,NYJ
2010_W11_IND_at_NE,2010,11,2010-11-21,NE,IND,31,28,1,NE
2010_W11_NYG_at_PHI,2010,11,2010-11-21,PHI,NYG,27,17,1,PHI
2010_W11_OAK_at_PIT,2010,11,2010-11-21,PIT,OAK,35,3,1,PIT
2010_W11_SEA_at_NO,2010,11,2010-11-21,NO,SEA,34,19,1,NO
2010_W11_TB_at_SF,2010,11,2010-11-21,SF,TB,0,21,0,TB
2010_W11_WAS_at_TEN,2010,11,2010-11-21,TEN,WAS,16,19,0,WAS
2010_W11_DEN_at_SD,2010,11,2010-11-22,SD,DEN,35,14,1,SD
2010_W12_CIN_at_NYJ,2010,12,2010-11-25,NYJ,CIN,26,10,1,NYJ
2010_W12_NE_at_DET,2010,12,2010-11-25,DET,NE,24,45,0,NE
2010_W12_NO_at_DAL,2010,12,2010-11-25,DAL,NO,27,30,0,NO
2010_W12_CAR_at_CLE,2010,12,2010-11-28,CLE,CAR,24,23,1,CLE
2010_W12_GB_at_ATL,2010,12,2010-11-28,ATL,GB,20,17,1,ATL
2010_W12_JAX_at_NYG,2010,12,2010-11-28,NYG,JAX,24,20,1,NYG
2010_W12_KC_at_SEA,2010,12,2010-11-28,SEA,KC,24,42,0,KC
2010_W12_MIA_at_OAK,2010,12,2010-11-28,OAK,MIA,17,33,0,MIA
2010_W12_MIN_at_WAS,2010,12,2010-11-28,WAS,MIN,13,17,0,MIN
2010_W12_PHI_at_CHI,2010,12,2010-11-28,CHI,PHI,31,26,1,CHI
2010_W12_PIT_at_BUF,2010,12,2010-11-28,BUF,PIT,16,19,0,PIT
2010_W12_SD_at_IND,2010,12,2010-11-28,IND,SD,14,36,0,SD
2010_W12_STL_at_DEN,2010,12,2010-11-28,DEN,STL,33,36,0,STL
2010_W12_TB_at_BAL,2010,12,2010-11-28,BAL,TB,17,10,1,BAL
2010_W12_TEN_at_HOU,2010,12,2010-11-28,HOU,TEN,20,0,1,HOU
2010_W12_SF_at_ARI,2010,12,2010-11-29,ARI,SF,6,27,0,SF
2010_W13_HOU_at_PHI,2010,13,2010-12-02,PHI,HOU,34,24,1,PHI
2010_W13_ATL_at_TB,2010,13,2010-12-05,TB,ATL,24,28,0,ATL
2010_W13_BUF_at_MIN,2010,13,2010-12-05,MIN,BUF,38,14,1,MIN
2010_W13_CAR_at_SEA,2010,13,2010-12-05,SEA,CAR,31,14,1,SEA
2010_W13_CHI_at_DET,2010,13,2010-12-05,DET,CHI,20,24,0,CHI
2010_W13_CLE_at_MIA,2010,13,2010-12-05,MIA,CLE,10,13,0,CLE
2010_W13_DAL_at_IND,2010,13,2010-12-05,IND,DAL,35,38,0,DAL
2010_W13_DEN_at_KC,2010,13,2010-12-05,KC,DEN,10,6,1,KC
2010_W13_JAX_at_TEN,2010,13,2010-12-05,TEN,JAX,6,17,0,JAX
2010_W13_NO_at_CIN,2010,13,2010-12-05,CIN,NO,30,34,0,NO
